A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"RT @KpopQween24: Top 4 current Albums on the Worldwide iTunes Album Chart (3.01.2018)

1. Hope World - J-Hope
2. Divide - Ed Sheeran
3. Bla?",25,97.89,65.56,1.59,99.00,6.25,16.00,36.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,8.00,4.00,4.00,0.00,24.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,0.00,12.00,8.00,16.00,0.00,12.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,40.00,12.00,0.00,4.00,0.00,0.00,0.00,12.00,0.00,0.00,8.00,4.00
"RT @tasty: Have you ever wondered what type of food they would eat in Wakanda? ??
We collaborated with the writer of the latest Black Panthe?",25,88.07,99.00,6.70,25.77,12.50,12.00,88.00,52.00,16.00,12.00,0.00,4.00,4.00,0.00,4.00,4.00,8.00,16.00,8.00,4.00,0.00,0.00,16.00,8.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,12.00,4.00,0.00,4.00,4.00,4.00,0.00,8.00,4.00,0.00,0.00,12.00,0.00,0.00,0.00,12.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,8.00,0.00,12.00,0.00,4.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,20.00,0.00,0.00,4.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,4.00
"RT @KpopQween24: Top 4 current Albums on the Worldwide iTunes Album Chart (3.01.2018)

1. Hope World - J-Hope
2. Divide - Ed Sheeran
3. Bla?",25,97.89,65.56,1.59,99.00,6.25,16.00,36.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,8.00,4.00,4.00,0.00,24.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,0.00,12.00,8.00,16.00,0.00,12.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,40.00,12.00,0.00,4.00,0.00,0.00,0.00,12.00,0.00,0.00,8.00,4.00
I liked a @YouTube video https://t.co/Apu4cITLQB CHADWICK BOSEMAN | Before They Were Famous | Black Panther King T?Challa,21,86.96,68.29,2.82,95.81,21.00,28.57,57.14,23.81,9.52,9.52,4.76,0.00,0.00,0.00,4.76,0.00,4.76,4.76,4.76,0.00,0.00,0.00,9.52,4.76,4.76,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,9.52,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,4.76,0.00,9.52,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,28.57,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.81
RT @Complex: 'Black Panther' just beat out 'Hunger Games' and 'Lion King' in box office records https://t.co/cV3E8LqFsY https://t.co/wi8GRR?,26,92.84,87.57,5.76,25.77,26.00,15.38,57.69,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,3.85,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,0.00,0.00,0.00,3.85,3.85,3.85,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,3.85,0.00,0.00,0.00,3.85,11.54,3.85,3.85,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,7.69,3.85,0.00,0.00,0.00,0.00,11.54,0.00,11.54,3.85,0.00,0.00,53.85,7.69,0.00,3.85,0.00,0.00,0.00,0.00,0.00,23.08,0.00,19.23
RT @UvuvwevwevOssas: Winter soldier vs Black panther https://t.co/q0GRmRfBNY,12,98.02,50.00,23.51,25.77,12.00,33.33,50.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,8.33,0.00,0.00,41.67,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
RT @YIhougan: Looks like Russians have caught the Black Panther vibe like the rest of the world. https://t.co/y1oGSUeoml,22,99.00,67.52,2.40,25.77,11.00,18.18,59.09,31.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,13.64,4.55,0.00,0.00,0.00,13.64,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,9.09,0.00,9.09,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,4.55,0.00,0.00,27.27,9.09,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64
RT @things_marvel: ??????????? ?????? Wakanda ??????? ???????????????????????????? Black Panther ?????????????? (credit ??? owner ???????)?,8,71.61,99.00,1.00,99.00,1.60,25.00,62.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,12.50,0.00,12.50,12.50,0.00,0.00,1012.50,0.00,0.00,12.50,0.00,950.00,0.00,0.00,0.00,0.00,25.00,25.00
RT @MADBLACKTHOT: 10 years of basically all white superheroes in the Marvel Cinematic Universe and y?all waited until Black Panther to have?,23,96.18,66.81,54.89,25.77,23.00,26.09,73.91,34.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,17.39,4.35,4.35,8.70,0.00,8.70,4.35,0.00,0.00,4.35,8.70,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,8.70,0.00,8.70,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,21.74,0.00,8.70,13.04,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,4.35,0.00,0.00,8.70,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35
"RT @ILOVEPARKJIMlN: Hoseok beat BTS' record, became the first kr soloist with the most N?1 on iTunes, made 3 hashtags + 1 word trend WW, Ho?",26,99.00,64.99,5.76,25.77,26.00,11.54,42.31,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,7.69,3.85,3.85,0.00,15.38,3.85,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,11.54,3.85,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,3.85,0.00,0.00,7.69,0.00,0.00,7.69,0.00,3.85,3.85,0.00,3.85,0.00,0.00,0.00,0.00,3.85,0.00,3.85,3.85,0.00,0.00,26.92,0.00,11.54,3.85,0.00,0.00,0.00,0.00,0.00,3.85,0.00,7.69
RT @bretmanrock: No offense but I haven?t watched Black Panther yet and I feel so ugly and out of the loop,22,31.44,8.65,85.21,1.00,22.00,18.18,77.27,50.00,9.09,9.09,9.09,0.00,0.00,0.00,0.00,0.00,4.55,9.09,0.00,9.09,18.18,4.55,9.09,4.55,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,9.09,0.00,4.55,0.00,0.00,0.00,0.00,9.09,4.55,0.00,0.00,0.00,0.00,4.55,13.64,9.09,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,0.00,9.09,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,4.55,0.00,0.00,9.09,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55
"RT @mayana_97605: Un coll?gue m'a appel? : 
- Yo Black Panther, 
Tout le monde a rigol?
Et j'ai r?pliqu?, j'ai dit : 
- Oui Tintin 
Ils ont?",29,97.44,63.49,1.00,25.77,29.00,3.45,20.69,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,0.00,10.34,3.45,0.00,0.00,41.38,0.00,6.90,10.34,0.00,0.00,0.00,6.90,0.00,10.34,0.00,6.90
"RT @Becauseofthem: After deciding to pursue an acting career at age 88, Dorothy Steel landed a role in #BlackPanther at 91 years old. Last?",24,99.00,79.76,99.00,25.77,12.00,16.67,62.50,29.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,20.83,0.00,0.00,0.00,0.00,4.17,4.17,4.17,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,33.33,0.00,12.50,20.83,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,4.17,0.00,0.00,20.83,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
RT @Toure: Black Panther has grossed $428M domestically and $334M overseas for a global total of $763M.,17,97.02,72.17,1.00,1.00,17.00,23.53,64.71,29.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,11.76,5.88,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,5.88,5.88,0.00,5.88,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,5.88,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,5.88,0.00,5.88,0.00,0.00,0.00,5.88,0.00,0.00,0.00,5.88,0.00,5.88,5.88,0.00,0.00,35.29,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53
RT @_milliec_: Still haven?t seen Black Panther ...,8,71.61,89.42,7.84,25.77,8.00,25.00,50.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,12.50,0.00,0.00,87.50,37.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50
"@SocialPowerOne1 I think it would end up more like the wakanda https://t.co/siIVj9y7fl panther was awesome and we need a society like that. https://t.co/9hFCXEBVUd",31,84.23,74.07,1.00,83.22,15.50,22.58,64.52,38.71,12.90,6.45,3.23,3.23,0.00,0.00,0.00,6.45,6.45,9.68,6.45,0.00,3.23,0.00,12.90,6.45,9.68,0.00,0.00,3.23,3.23,3.23,0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,9.68,3.23,0.00,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,3.23,0.00,3.23,0.00,0.00,3.23,6.45,0.00,6.45,0.00,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,9.68,0.00,6.45,3.23,0.00,0.00,25.81,9.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.13
"?? AFROFUTURISME
? l'occasion de la sortie du film Black Panther, @kouamouo revient sur la notion d'afrofuturisme.

 ?? Soutenez #LeM?dia en devenant socio : https://t.co/b8p7d9KMCF
#BlackPanther #Afrique #culture #afrofuturisme https://t.co/DEoPiLC7wE",37,92.84,60.66,1.00,25.77,12.33,37.84,16.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,2.70,0.00,2.70,0.00,0.00,0.00,0.00,5.41,0.00,5.41,0.00,0.00,0.00,56.76,8.11,2.70,2.70,0.00,10.81,0.00,0.00,0.00,5.41,0.00,27.03
"RT @LeMediaTV: ?? AFROFUTURISME
? l'occasion de la sortie du film Black Panther, @kouamouo revient sur la notion d'afrofuturisme.

 ?? Soute?",20,92.84,69.14,1.00,25.77,6.67,35.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,5.00,0.00,0.00,55.00,5.00,5.00,5.00,0.00,20.00,0.00,0.00,0.00,10.00,0.00,10.00
"RT @LeMediaTV: ?? AFROFUTURISME
? l'occasion de la sortie du film Black Panther, @kouamouo revient sur la notion d'afrofuturisme.

 ?? Soute?",20,92.84,69.14,1.00,25.77,6.67,35.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,5.00,0.00,0.00,55.00,5.00,5.00,5.00,0.00,20.00,0.00,0.00,0.00,10.00,0.00,10.00
